"Id","ProviderName","TimeCreated","TaskDisplayName"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:15 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:15 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:15 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:15 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:15 PM","Special Logon"
"4799","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Security Group Management"
"4799","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Security Group Management"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Special Logon"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:02 PM","Kerberos Service Ticket Operations"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:15 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:15 PM","Special Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:14 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:14 PM","Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:38 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:38 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:37 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:37 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:37 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:36 PM","Logoff"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:36 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:36 PM","Logon"
"4648","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:36 PM","Logon"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:35 PM","Kerberos Service Ticket Operations"
"4768","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:35 PM","Kerberos Authentication Service"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:25 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Special Logon"
"4718","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Authentication Policy Change"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Logon"
"4648","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Special Logon"
"4717","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:15 PM","Authentication Policy Change"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:56:01 PM","Logoff"
